Popularity,Genre
1,pop
2,dance-pop
3,rap
4,rock
5,pop-rap
6,latin
7,hip-hop
8,trap-latino
9,trap
10,modern-rock
11,reggaeton
12,edm
13,pop-dance
14,post-teen-pop
15,latin-pop
16,pop-rock
17,classic-rock
18,electropop
19,tropical-house
20,mellow-gold
21,r&b
22,regional-mexican
23,soft-rock
24,permanent-wave
25,k-pop
26,uk-pop
27,alternative-metal
28,album-rock
29,indie-pop
30,southern-hip-hop
31,corrido
32,canadian-pop
33,contemporary-country
34,melodic-rap
35,urban-contemporary
36,electro-house
37,alternative-rock
38,hard-rock
39,alt-z
40,country
41,nu-metal
42,nuevo-regional-mexicano
43,neo-mellow
44,tropical
45,rock-en-espanol
46,gangster-rap
47,latin-hip-hop
48,ranchera
49,underground-hip-hop
50,modern-alternative-rock
51,country-road
52,atl-hip-hop
53,folk-rock
54,new-wave-pop
55,german-hip-hop
56,adult-standards
57,french-hip-hop
58,desi-pop
59,country-rock
60,chicago-rap
61,latin-alternative
62,alternative-r&b
63,k-pop-boy-group
64,pop-urbaine
65,art-rock
66,soul
67,latin-rock
68,mexican-pop
69,indie-poptimism
70,europop
71,funk-carioca
72,reggaeton-colombiano
73,j-pop
74,canadian-hip-hop
75,house
76,indie-folk
77,stomp-and-holler
78,hip-pop
79,sertanejo-universitario
80,norteno
81,filmi
82,indie-rock
83,viral-pop
84,neo-soul
85,metal
86,latin-arena-pop
87,art-pop
88,new-wave
89,francoton
90,post-grunge
91,sertanejo-pop
92,toronto-rap
93,sertanejo
94,modern-bollywood
95,reggaeton-flow
96,indie-soul
97,spanish-pop
98,pop-punk
99,funk
100,colombian-pop
101,emo-rap
102,sierreno
103,blues-rock
104,rap-francais
105,conscious-hip-hop
106,quiet-storm
107,singer-songwriter
108,indietronica
109,sad-rap
110,lgbtq+-hip-hop
111,slap-house
112,chill-r&b
113,psychedelic-rock
114,vapor-trap
115,new-romantic
116,boy-band
117,dark-trap
118,miami-hip-hop
119,motown
120,east-coast-hip-hop
121,disco
122,banda
123,german-pop
124,italian-pop
125,glam-rock
126,australian-pop
127,pop-edm
128,pop-r&b
129,uk-dance
130,canadian-contemporary-r&b
131,british-soul
132,progressive-house
133,rap-metal
134,russian-hip-hop
135,folk
136,italian-hip-hop
137,metropopolis
138,bedroom-pop
139,sleep
140,piano-rock
141,roots-rock
142,metalcore
143,hoerspiel
144,puerto-rican-pop
145,escape-room
146,modern-country-rock
147,k-pop-girl-group
148,swedish-pop
149,progressive-electro-house
150,punk
151,electronica
152,corridos-tumbados
153,ccm
154,argentine-rock
155,anime
156,brill-building-pop
157,pop-soul
158,alternative-hip-hop
159,vocal-jazz
160,mpb
161,sad-lo-fi
162,indonesian-pop
163,alternative-dance
164,christian-music
165,turkish-pop
166,indie-r&b
167,hardcore-hip-hop
168,heartland-rock
169,uk-hip-hop
170,talent-show
171,trap-argentino
172,west-coast-rap
173,urbano-espanol
174,worship
175,rap-rock
176,mexican-hip-hop
177,lounge
178,polish-hip-hop
179,big-room
180,classical
181,turkish-trap-pop
182,sufi
183,hollywood
184,soundtrack
185,detroit-hip-hop
186,dance-rock
187,brooklyn-drill
188,new-french-touch
189,pagode
190,opm
191,italian-adult-pop
192,otacore
193,yacht-rock
194,french-pop
195,folk-pop
196,pop-nacional
197,australian-hip-hop
198,new-americana
199,dirty-south-rap
200,world-worship
201,country-pop
202,dutch-pop
203,synthpop
204,j-rock
205,cali-rap
206,christian-alternative-rock
207,glam-metal
208,british-invasion
209,brazilian-rock
210,social-media-pop
211,rock-and-roll
212,mariachi
213,beatlesque
214,melodic-metalcore
215,cantautor
216,classic-soul
217,aesthetic-rap
218,new-rave
219,funk-metal
220,lo-fi-beats
221,brostep
222,garage-rock
223,eurodance
224,grupera
225,argentine-hip-hop
226,rap-conscient
227,emo
228,electronic-trap
229,viral-rap
230,melancholia
231,nova-mpb
232,russian-pop
233,bubblegum-pop
234,forro
235,trap-queen
236,mexican-rock
237,grunge
238,vapor-soul
239,new-jack-swing
240,dutch-hip-hop
241,funk-ostentacao
242,deep-house
243,acoustic-pop
244,salsa
245,indiecoustica
246,punjabi-pop
247,brazilian-hip-hop
248,north-carolina-hip-hop
249,german-trap
250,mandopop
251,trance
252,german-rock
253,dream-smp
254,queens-hip-hop
255,symphonic-rock
256,bachata
257,texas-country
258,nyc-rap
259,dream-pop
260,girl-group
261,outlaw-country
262,chanson
263,dfw-rap
264,funk-rock
265,russian-trap
266,atl-trap
267,new-orleans-rap
268,lilith
269,show-tunes
270,j-poprock
271,g-funk
272,modern-blues-rock
273,australian-dance
274,country-dawn
275,progressive-rock
276,polish-trap
277,turkish-hip-hop
278,screamo
279,britpop
280,memphis-hip-hop
281,australian-rock
282,video-game-music
283,comic
284,trap-triste
285,easy-listening
286,la-indie
287,florida-rap
288,turkish-trap
289,kleine-hoerspiel
290,philly-rap
291,power-metal
292,reggae-fusion
293,chillhop
294,neo-classical
295,anime-rock
296,freak-folk
297,rockabilly
298,rain
299,plugg
300,merseybeat
301,russian-alt-pop
302,compositional-ambient
303,pittsburgh-rap
304,french-indie-pop
305,gen-z-singer-songwriter
306,dutch-edm
307,meme-rap
308,cumbia-pop
309,reggae
310,norwegian-pop
311,downtempo
312,perreo
313,bolero
314,dominican-pop
315,bossa-nova
316,ohio-hip-hop
317,industrial-metal
318,german-dance
319,candy-pop
320,nigerian-pop
321,children's-music
322,vapor-twitch
323,gruperas-inmortales
324,dutch-rap-pop
325,adoracao
326,scorecore
327,bubblegum-dance
328,trap-italiana
329,indie-garage-rock
330,italian-indie-pop
331,baroque-pop
332,dancehall
333,afropop
334,deep-groove-house
335,rock-nacional
336,bass-trap
337,canadian-rock
338,trap-brasileiro
339,german-techno
340,latin-viral-pop
341,deep-german-hip-hop
342,modern-indie-pop
343,brazilian-edm
344,danish-pop
345,skate-punk
346,deep-regional-mexican
347,barbadian-pop
348,gauze-pop
349,anthem-worship
350,nueva-cancion
351,chillwave
352,turkish-rock
353,japanese-teen-pop
354,trap-soul
355,neo-psychedelic
356,sophisti-pop
357,spanish-pop-rock
358,gaming-edm
359,desi-hip-hop
360,lo-fi-product
361,spanish-hip-hop
362,southern-soul
363,jazz
364,classic-italian-pop
365,indie-rock-italiano
366,pixie
367,rap-latina
368,indie-anthem-folk
369,background-music
370,old-school-thrash
371,pop-venezolano
372,latin-worship
373,swedish-hip-hop
374,korean-pop
375,grime
376,tennessee-hip-hop
377,roots-reggae
378,mexican-indie
379,taiwan-pop
380,uk-contemporary-r&b
381,cumbia-villera
382,hip-house
383,indie-pop-rap
384,nouvelle-chanson-francaise
385,electric-blues
386,christian-rock
387,brazilian-gospel
388,rap-calme
389,instrumental-lullaby
390,funk-paulista
391,redneck
392,rap-marseille
393,baton-rouge-rap
394,pop-flamenco
395,la-pop
396,trip-hop
397,drift-phonk
398,latin-christian
399,tamil-pop
400,glitchcore
